name,email,mobile_number,role_name,manager_email,address,status,blood_group,brith_date
ARPIT,arpit@gujaratsolar.com,,SuperAdmin,,,active,,
BAHUCHAR,bhaveshbhai@gujbhatsolbh.com,,SuperAdmin,,,active,,
BHAVESHBHAI,bhaveshbhai@gujbhatsolbh.com,,SuperAdmin,,,active,,
BHAVIKBHAI,bhavikbhai@gujbhatsolbh.com,,SuperAdmin,,,active,,
channel_partner_email,channel_partner_email@gujchatsolch.com,,SuperAdmin,,,active,,
DIXITBHAI,dixitbhai@gujdiatsoldi.com,,SuperAdmin,,,active,,
FENIL,fenil@gujfeatsolfe.com,,SuperAdmin,,,active,,
GLOBAL,global@gujglatsolgl.com,,SuperAdmin,,,active,,
GRE,gre@gujgratsolgr.com,,SuperAdmin,,,active,,
GUJARAT,gujarat@gujguatsolgu.com,,SuperAdmin,,,active,,
HELIUM,helium@gujheatsolhe.com,,SuperAdmin,,,active,,
JAYESHBHAI,jayeshbhai@gujjaatsolja.com,,SuperAdmin,,,active,,
KIRITBHAI,kiritbhai@gujkiatsolki.com,,SuperAdmin,,,active,,
LALABHAI,lalabhai@gujlaatsolla.com,,SuperAdmin,,,active,,
MAHADEV,mahadev@gujmaatsolma.com,,SuperAdmin,,,active,,
MAYUR,mayur@gujmaatsolma.com,,SuperAdmin,,,active,,
MOHANBHAI,mohanbhai@gujmoatsolmo.com,,SuperAdmin,,,active,,
PATAN,patan@gujpaatsolpa.com,,SuperAdmin,,,active,,
PATAN HEMAL,patanhemal@gujpaatsolpa.com,,SuperAdmin,,,active,,
PILVAY58,pilvay58@gujpiatsolpi.com,,SuperAdmin,,,active,,
PUNITBHAI,punitbhai@gujpuatsolpu.com,,SuperAdmin,,,active,,
RAJ,raj@gujraatsolra.com,,SuperAdmin,,,active,,
RAJU,raju@gujraatsolra.com,,SuperAdmin,,,active,,
SHAILESHBHAI,shaileshbhai@gujshatsolsh.com,,SuperAdmin,,,active,,
SHIVAM,shivam@gujshatsolsh.com,,SuperAdmin,,,active,,
URVESHBHAI,urveshbhai@gujuratsolur.com,,SuperAdmin,,,active,,
URVESHBHAIBHAI,urveshbhaibhai@gujuratsolur.com,,SuperAdmin,,,active,,
VADNAGAR,vadnagar@gujvaatsolva.com,,SuperAdmin,,,active,,
YASHBHAI,yashbhai@gujyaatsolya.com,,SuperAdmin,,,active,,
